Epoch:    0, Training time:    1.0436 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    1, Training time:    2.0436 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    2, Training time:    3.0323 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    3, Training time:    4.0140 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    4, Training time:    4.9917 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    5, Training time:    5.9711 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    6, Training time:    6.9514 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    7, Training time:    7.9270 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    8, Training time:    8.9089 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:    9, Training time:    9.8847 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   10, Training time:   10.8625 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   11, Training time:   11.8370 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   12, Training time:   12.7995 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   13, Training time:   13.7707 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   14, Training time:   14.7463 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   15, Training time:   15.7122 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   16, Training time:   16.6850 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   17, Training time:   17.6521 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   18, Training time:   18.6234 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   19, Training time:   19.5982 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:   20, Training time:   20.5673 minutes, last lf: 0.100000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
