,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
0,2260,203,1683.5,211.6396089792252,26.606073114709396,0.472312113106774,46.29793487361663,1.289526878152051,2010.0,0.8375621890505595,0.2767695099818512,0.2507562008469449,0.8772232304900183,0.1256438915257562,0.3544628210768461,0.6218998,0.27777988,0.22034787,0.41289836,0.5554665,0.3670962,0.6388905,0.43839774,0.4085699,0.57462144,0.3976828,0.67770493,0.43634605,0.36960372,0.19469748,0.38536847,0,0.0016650684019613752
1,1451,334,1351.0,260.02438509464264,50.04639588700707,0.2510944173210033,41.47465038957176,1.7685869338360494,1806.5,0.7478549681663557,0.2732267732267732,0.2529137529137529,0.8755744255744256,0.1424039940523457,0.37736453735393,0.56235087,0.26493838,0.21484332,0.37025297,0.504064,0.3893536,0.5730488,0.40156034,0.36707833,0.5262651,0.35878047,0.64199513,0.38948798,0.3428292,0.19091475,0.34697878,1,0.006265652946082274
2,1495,327,1980.0,255.5391035079956,32.979915869363786,0.3810310088136741,50.20970323130403,1.4357035702449277,2231.5,0.8872955411118651,0.3149452269170579,0.2828638497652582,0.8617762128325509,0.1112194817312849,0.3334958496462661,0.6349149,0.3002081,0.24623066,0.42460367,0.5590709,0.42860198,0.66546434,0.46359962,0.42426026,0.592912,0.41189277,0.67819035,0.441703,0.4001514,0.22165813,0.40191045,1,0.008143142973412914
3,1589,299,552.0,130.9116871356964,31.046865631166654,0.4047548877690678,26.51090773047596,1.3929928576881212,727.0,0.7592847317639713,0.2745098039215686,0.2655971479500891,0.8680926916221035,0.1291588422761747,0.3593867586266566,0.5944969,0.28993338,0.23578027,0.4112051,0.5529149,0.39537245,0.60341644,0.41291043,0.40639052,0.56253284,0.39374727,0.6498684,0.42720062,0.32811105,0.19340888,0.3838957,1,0.006184562207351137
4,1544,312,2519.0,288.1665196418762,32.96543987383175,0.381198329596174,56.63294459224132,1.4353884463508155,2934.0,0.858554873889371,0.3899766899766899,0.3354312354312354,0.8377389277389278,0.0895032085241875,0.2991708684417444,0.6862822,0.34288538,0.2796701,0.47949168,0.6082221,0.44681078,0.72949976,0.5087503,0.48390648,0.6436603,0.464746,0.7040145,0.48930976,0.4446156,0.26062262,0.46093604,1,0.007615542920158357
5,1859,333,123.5,65.21320307254791,34.4353186610285,0.3649267990522141,12.539740179716349,1.4670403591995091,163.5,0.7553516819109877,0.2698412698412698,0.2619047619047619,0.8698412698412699,0.132034517510708,0.3633655425473197,0.52764684,0.24038456,0.17312114,0.33771053,0.4649554,0.32910088,0.52760696,0.34389135,0.3294887,0.47488862,0.3291523,0.6347768,0.35952944,0.2944198,0.15967417,0.31416795,1,0.009502060474066034
6,2127,246,155.5,78.04163014888763,39.167177079769104,0.3208393239047417,14.070847494245603,1.5645921406748329,218.5,0.7116704805166283,0.223671497584541,0.2178743961352657,0.8916425120772947,0.1805269667903569,0.4248846511588255,0.4510449,0.20694683,0.15523289,0.2861405,0.41977042,0.28966916,0.41917273,0.28402567,0.27219284,0.41199794,0.2762547,0.59770286,0.30967823,0.22151163,0.12279675,0.2590133,1,0.010342719448966057
7,2083,262,1156.0,194.16652011871335,32.61300824799706,0.3853177394335864,38.36489168124743,1.4276950007679148,1423.0,0.8123682361151626,0.3120567375886525,0.2943262411347518,0.8546099290780144,0.113374578743524,0.3367114176019637,0.6010948,0.2934307,0.23083651,0.41070232,0.5466747,0.36917412,0.61281,0.4090744,0.40525076,0.5631776,0.39627305,0.668499,0.4262571,0.33377436,0.20212667,0.3847128,1,0.008673019533369507
8,2041,276,1346.0,194.36753058433533,28.06741229210391,0.4477210254896827,41.397831189731775,1.32446716381738,1656.5,0.8125565952260033,0.329185520361991,0.2914781297134239,0.8580316742081451,0.1147095222820536,0.3386879423334312,0.6301577,0.29667282,0.23473091,0.43045047,0.5665019,0.37530273,0.6474349,0.447858,0.43088353,0.5894969,0.41434875,0.6960178,0.4481027,0.38842258,0.20894459,0.40649375,1,0.008223134708908583
9,1995,291,867.5,140.46803605556488,22.74497885081271,0.5524898790468179,33.23454986994338,1.1922924045513572,1040.0,0.834134615376595,0.2848837209302325,0.2605708245243129,0.8721458773784354,0.1177037844892705,0.3430798514766941,0.6298886,0.30430642,0.24266525,0.43086088,0.5718303,0.38279286,0.6432821,0.4420152,0.42757782,0.58700097,0.41568825,0.68694234,0.44722658,0.3684536,0.20604093,0.40575325,1,0.009286655839914792
10,1949,305,934.5,154.1248903274536,25.419456199246024,0.4943603244585596,34.49409158906797,1.2604427841873764,1117.0,0.8366159355341396,0.2646276595744681,0.2566489361702128,0.8724734042553192,0.125202376012273,0.3538394777470047,0.55373704,0.27869496,0.22349045,0.38099173,0.5137019,0.34936,0.55759895,0.3763233,0.37418342,0.5230116,0.3669836,0.6431018,0.39455804,0.29785877,0.1905141,0.35577914,1,0.010698953497719096
11,2174,231,1909.0,285.2792180776596,42.63186603801706,0.2947647331009558,49.30126054067407,1.6323270588595613,2576.0,0.7410714285685518,0.2209821428571428,0.2140376984126984,0.8936755952380951,0.1467940257700302,0.3831370848273894,0.6150576,0.26356745,0.21259063,0.39702478,0.54156977,0.3769915,0.6282601,0.4367793,0.39211285,0.5557825,0.38345587,0.6800527,0.42450428,0.368221,0.18326862,0.36903557,1,0.0072066352163340786
12,2220,216,2713.5,288.40916109085083,30.654079307470724,0.4099412182067655,58.7786994126177,1.3841531550157604,3304.5,0.8211529732158537,0.2687645687645688,0.2557109557109557,0.8734498834498834,0.1139756901994664,0.3376028586956373,0.65623224,0.3061548,0.25233415,0.4443496,0.58341515,0.39829522,0.68299043,0.4748441,0.44319832,0.610069,0.42889524,0.70363003,0.46312535,0.399378,0.22142816,0.41935948,0,0.004012539312915737
13,1207,413,1910.5,246.95331704616547,31.92145553508752,0.3936653389905293,49.3206260120097,1.4124768921030848,2244.5,0.851191802179322,0.3812019566736547,0.3336827393431167,0.8379105520614953,0.1049441316638025,0.3239508167358165,0.6663816,0.32892993,0.29531565,0.462694,0.6046954,0.47243783,0.717495,0.5100679,0.4623531,0.6297675,0.4470214,0.6726114,0.47690797,0.4129065,0.27202043,0.43943006,1,0.008963862889612347
14,1162,428,2290.5,260.46803617477417,29.61955811763688,0.4242592196816011,54.0032885777884,1.3605963332917606,2638.0,0.8682714177374213,0.3759920634920635,0.3442460317460317,0.8310515873015871,0.1061777358512849,0.3258492532618188,0.6685987,0.3200882,0.27634653,0.46050087,0.6061829,0.4629603,0.70952135,0.5108171,0.46112442,0.63691825,0.44347045,0.6853058,0.4780402,0.42948934,0.24533305,0.43594807,1,0.007910075787263117
15,1289,382,1901.0,217.7401144504547,24.93990396667424,0.5038660385814693,49.19784928776404,1.2484966951284198,2187.0,0.8692272519393268,0.3646304675716441,0.3412518853695325,0.831711915535445,0.0988988645696125,0.3144818986358556,0.67307866,0.3453181,0.30259636,0.48243168,0.6226942,0.4642909,0.7209337,0.5071226,0.48537222,0.65065724,0.46313936,0.68183386,0.4912799,0.41269445,0.2715544,0.45931175,1,0.010854226954844155
16,1250,402,3921.0,366.93607199192047,34.33870974968541,0.3659534882332414,70.65672122952333,1.4649810098391858,4809.5,0.8152614616887093,0.350982350982351,0.3223443223443223,0.8416916416916417,0.0932224064092196,0.3053234455609651,0.664839,0.35319254,0.3025042,0.4814328,0.6134904,0.46518362,0.71020913,0.50437295,0.48741207,0.64838606,0.46364737,0.68328506,0.48608992,0.43349746,0.27900147,0.46240148,1,0.009732301651896064
17,1379,356,637.0,123.74011433124542,24.037073617691235,0.5227912022079454,28.47900261589753,1.225690458815629,744.0,0.8561827956874168,0.3226381461675579,0.3065953654188948,0.8483065953654189,0.1202430088872366,0.3467607372342443,0.6259404,0.31904638,0.28695548,0.44012892,0.5850652,0.42690995,0.6520999,0.462326,0.4351188,0.59897953,0.4231588,0.65616775,0.45227316,0.34979197,0.22962204,0.41363028,1,0.012768769091256205
18,1673,274,1008.0,180.9116872549057,32.46928431060726,0.3870233323906499,35.82492792865108,1.4245456360234643,1304.5,0.7727098505115163,0.3619909502262443,0.3310708898944193,0.8375565610859729,0.0967609749550127,0.3110642617772294,0.6696523,0.34725252,0.2813092,0.4820365,0.6187481,0.43114656,0.7045065,0.48753017,0.4853392,0.65162027,0.46296045,0.6960425,0.48967427,0.41410106,0.25489512,0.4595529,1,0.010060118616989208
