,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
0,74,19,159.5,58.52691125869751,21.47585793898868,0.5851393992842918,14.250673927406329,1.1585513025928318,191.0,0.8350785339876922,0.3307692307692307,0.2446153846153846,0.8858733031674209,0.1393041420118343,0.3732347009749152,0.4478578,0.2791094,0.25684685,0.34207717,0.4660151,0.4498594,0.4663106,0.32180983,0.33361915,0.47485867,0.32530755,0.41304758,0.34080625,0.2067671,0.16675307,0.31661943,0,0.0005279743319984616
1,67,90,147.5,48.38477599620819,15.871773207081535,0.791743332613068,13.704117368456696,0.9959848518433678,158.0,0.9335443037383832,0.4934640522875816,0.4215686274509804,0.79640522875817,0.1575248835917809,0.3968940458003633,0.69810385,0.51464045,0.49988914,0.6098237,0.7116136,0.5724263,0.7375479,0.5514179,0.6207469,0.76507145,0.58616745,0.6274746,0.56701887,0.4013855,0.3503217,0.6026301,0,0.0006781297370981244
2,61,141,129.5,46.041629791259766,16.369356553449613,0.7676765163186166,12.84073677960901,1.0114765366631526,138.0,0.9384057970334488,0.4052287581699346,0.3986928104575163,0.8013071895424836,0.1661754026229228,0.4076461733205928,0.69175303,0.5020717,0.4835412,0.6009424,0.70630145,0.5697034,0.7328477,0.5416322,0.61253655,0.75961924,0.57583255,0.62028044,0.5607009,0.38933712,0.34789395,0.5907383,0,0.0029256883639901354
3,180,177,417.0,85.59797894954681,17.570776978588373,0.7151858241302568,23.04215463350949,1.0479377657662785,457.0,0.9124726476824404,0.3022988505747127,0.2770114942528735,0.8640229885057472,0.1944299114810411,0.440942072704614,0.55518776,0.39368424,0.34224662,0.45657715,0.585287,0.48883298,0.5887505,0.3967317,0.4522334,0.6160348,0.4366976,0.5357794,0.43760297,0.26781967,0.2918061,0.43311912,0,0.0012991668363537638
4,62,212,193.5,64.87005722522736,21.747412528097144,0.5778329075904746,15.696236870863476,1.1658530278674737,231.0,0.8376623376260752,0.269927536231884,0.2626811594202898,0.8693840579710146,0.2200561856752783,0.4691014662898404,0.6099448,0.45068118,0.4155492,0.5224012,0.6408824,0.5130553,0.6346484,0.45343992,0.52376807,0.6840091,0.50011307,0.5714677,0.49097767,0.30635998,0.2946523,0.50303566,0,0.002617335092422906
5,180,209,93.0,37.31370830535889,14.971105670405352,0.8393749192324986,10.881694613449236,0.9673128263472018,96.5,0.9637305698483182,0.3236842105263158,0.3078947368421052,0.8476315789473684,0.1437396121883656,0.379130072914779,0.5920229,0.4036162,0.37950525,0.486801,0.61299944,0.49793357,0.60983664,0.44527292,0.48537552,0.64119923,0.46462098,0.5667829,0.4670929,0.2997282,0.25538772,0.46551475,0,0.0010856439059707234
6,181,253,213.0,59.11269772052765,16.405216110959728,0.7659984805282817,16.46815177937675,1.0125838269653775,231.5,0.9200863930488083,0.3677536231884057,0.3315217391304347,0.8378623188405797,0.1260305082965763,0.3550077580794205,0.56771165,0.42340392,0.3816268,0.48219377,0.6020499,0.47247523,0.58592004,0.41601545,0.4809333,0.6381964,0.46222436,0.5644395,0.45474118,0.28508267,0.27905387,0.46340021,1,0.008787670535532477
7,390,270,232.0,73.94112479686737,23.56590489650972,0.533243712430313,17.186959427966244,1.213618167139834,270.0,0.8592592592274348,0.2584615384615384,0.2492307692307692,0.8763076923076922,0.1901349112426035,0.4360446207013722,0.45950475,0.35039577,0.29531196,0.37944758,0.50654244,0.42217535,0.45963228,0.3098095,0.3722339,0.5346379,0.36305845,0.49823043,0.3629805,0.20906216,0.21466053,0.3568258,0,0.0016569237991809769
8,393,309,237.0,78.28427076339722,25.858341977629976,0.4859696969233214,17.371176474327626,1.271277457184373,305.5,0.7757774140498926,0.3624338624338624,0.3386243386243386,0.8330687830687831,0.1165245933764452,0.3413569881757882,0.54204315,0.40434873,0.37885973,0.45679566,0.578284,0.47388437,0.5459753,0.40091956,0.45558596,0.6153728,0.4374164,0.5427299,0.4325185,0.2736223,0.24518171,0.43764338,0,0.002221928804950338
9,189,325,263.5,70.52691125869751,18.876831922214137,0.6657033693810125,18.316621414379764,1.0861869060248126,295.5,0.8917089678209236,0.4892307692307692,0.4061538461538462,0.8052307692307692,0.1152284023668639,0.3394530930288659,0.6108546,0.42906648,0.4019726,0.50926137,0.631049,0.50880593,0.63419914,0.456318,0.5091308,0.6656997,0.4879211,0.5783443,0.4845639,0.3124939,0.28342336,0.48990712,1,0.011381850409511528
10,184,446,69.5,37.89949476718903,20.66721875397865,0.608033947966241,9.40692023773423,1.1365303214322138,80.5,0.8633540371598318,0.2807971014492754,0.2807971014492754,0.8596014492753624,0.239629279563117,0.4895194373700773,0.6016346,0.41942078,0.4039782,0.5022896,0.6289477,0.5254362,0.61097866,0.4570733,0.5039192,0.66862285,0.47789684,0.55438393,0.47900605,0.3000271,0.25888515,0.47871748,0,0.0028082330765401933
11,185,285,202.0,55.455843687057495,15.22450791530252,0.8254040579574627,16.03728119216293,0.9754648863074292,209.5,0.964200477280945,0.322463768115942,0.3043478260869565,0.8496376811594203,0.1636735979836169,0.4045659377451553,0.5615855,0.38497525,0.34154174,0.45788223,0.5881382,0.48239675,0.58273846,0.40341422,0.45440966,0.61556244,0.43660095,0.54882234,0.44132528,0.27393267,0.2624629,0.4338315,1,0.011631873741487364
12,283,274,150.5,63.3553386926651,26.670424854455835,0.4711724947041263,13.842779759955802,1.2910854165526264,200.5,0.7506234413590711,0.445887445887446,0.3982683982683983,0.8056277056277057,0.098573864807631,0.3139647508998917,0.57506365,0.4490606,0.42049462,0.49783108,0.61005497,0.5037652,0.59537226,0.42709735,0.4975524,0.653428,0.48005486,0.5528955,0.46439323,0.29817745,0.28874186,0.48387554,1,0.008466237216905361
13,290,236,344.0,73.59797894954681,15.746111934013008,0.7980618114892343,20.928315827817965,0.9920342714035224,362.5,0.948965517215201,0.2566137566137566,0.2539682539682539,0.8732804232804232,0.131893703983651,0.3631717279520131,0.53164595,0.38532186,0.32630187,0.4380566,0.5618835,0.46235156,0.55366576,0.37347472,0.43374923,0.5916472,0.42044318,0.53909475,0.41880438,0.26258907,0.26394942,0.4180491,1,0.0065312740390054075
14,286,312,74.5,36.38477599620819,17.7698244847859,0.7071747176420632,9.739422266375437,1.0538567406459158,84.5,0.8816568046293898,0.3202614379084967,0.3137254901960784,0.8437908496732026,0.1491520355418856,0.3862020656882684,0.6103243,0.44046518,0.42042893,0.5160426,0.63692415,0.5139527,0.62463254,0.46216792,0.51775527,0.6786768,0.49378407,0.57218796,0.4880513,0.30865574,0.273157,0.4958591,1,0.007942328304939026
15,394,378,157.5,50.87005710601807,16.430239427334836,0.7648318619512138,14.161046158239444,1.0133557933245874,168.0,0.9374999999441964,0.3105263157894736,0.3105263157894736,0.8447368421052632,0.1449030470914127,0.3806613285998628,0.6781821,0.473641,0.49394432,0.5757963,0.68782,0.5574126,0.71108377,0.5499261,0.5846941,0.7336334,0.5512984,0.614266,0.5432115,0.37871212,0.3123468,0.5627963,1,0.013996887655829317
16,499,391,335.5,76.18376505374908,17.29945173648836,0.7264028250940296,20.6681365211924,1.0398152399669878,369.0,0.9092140921162816,0.3114942528735632,0.3022988505747126,0.8497701149425287,0.1234905535737878,0.3514122274107545,0.5854021,0.42346802,0.3884559,0.49038553,0.61168563,0.4811662,0.60648566,0.4362978,0.4896535,0.64896244,0.4704048,0.5747149,0.46541426,0.298727,0.2834742,0.47143477,1,0.014303384974773188
17,710,340,203.5,58.87005710601807,17.030386356243362,0.7378793616798103,16.096715421277896,1.0316972166989902,224.5,0.9064587972870174,0.2842105263157894,0.2736842105263157,0.8642105263157895,0.1684626038781163,0.4104419616439288,0.54974353,0.43146324,0.38238493,0.47494212,0.59473217,0.47729674,0.5698581,0.3949535,0.47321066,0.638225,0.45550966,0.5400678,0.4441767,0.26333046,0.28119567,0.45442557,1,0.009155325912350958
18,709,382,113.0,42.97056245803833,16.34043573271477,0.7690352215039309,11.994835078277376,1.0105826205237665,121.0,0.9338842974434808,0.3375,0.3375,0.8312499999999999,0.1243402777777777,0.3526191681939281,0.4763109,0.3660577,0.3207892,0.396678,0.52687126,0.4444316,0.49790218,0.33133516,0.38847262,0.5550106,0.3793647,0.48942104,0.3779602,0.20528935,0.2513353,0.37022462,1,0.012332805182243943
19,708,422,125.0,42.97056233882904,14.771753820539804,0.8507026833748436,12.6156626101008,0.960850983995288,129.5,0.9652509651764284,0.3208333333333333,0.3208333333333333,0.8395833333333335,0.1448958333333333,0.3806518531852082,0.52985233,0.3555099,0.32452866,0.42169723,0.55767614,0.47184545,0.55899465,0.3867499,0.4142025,0.57840014,0.4019323,0.5226347,0.4113089,0.24519658,0.2506737,0.3944873,1,0.012323790555216183
20,814,429,310.0,74.76955199241638,18.03382549989135,0.6968222363029429,19.867165345562015,1.0616562972353571,345.0,0.8985507246116362,0.2846153846153846,0.2661538461538461,0.8687692307692308,0.1547976331360946,0.3934433035852747,0.51775116,0.36160192,0.31207928,0.4180304,0.5504454,0.45377457,0.52993137,0.3634689,0.41066203,0.5729695,0.39926156,0.5260943,0.40449417,0.2401378,0.23328163,0.39278305,0,0.0005673912305708274
21,187,474,352.0,90.7695517539978,23.40656683348756,0.5368737202419763,21.17026971360491,1.2095083409157068,425.5,0.8272620446339068,0.4310344827586208,0.3873563218390805,0.8106896551724141,0.1445977011494253,0.380260044113795,0.6696944,0.46793917,0.45171618,0.5678563,0.68189776,0.54607224,0.6964452,0.5204588,0.5758296,0.7276284,0.5432892,0.61484754,0.5364491,0.3728199,0.30620787,0.5537612,0,0.00042333395551935566
22,198,552,173.5,53.0710676908493,16.23364971576007,0.7740939858638501,14.86294254216004,1.0072750899870129,180.0,0.9638888888353396,0.4718614718614718,0.4329004329004329,0.7874458874458875,0.1114390659845205,0.3338249031820731,0.6760113,0.52592844,0.5094483,0.6015826,0.6987927,0.5525544,0.7009494,0.5310924,0.61113036,0.75396025,0.580415,0.61892015,0.5536439,0.3840664,0.33361393,0.5960433,0,0.00042766451164053486
23,294,425,219.0,59.455843567848206,16.14154033882658,0.7785112418003186,16.698486766680407,1.004413396407012,236.0,0.9279661016555948,0.3894927536231884,0.3605072463768116,0.8226449275362318,0.1217837639151438,0.348975305595029,0.5850912,0.42419654,0.3846042,0.49144712,0.6138993,0.47976425,0.61065453,0.42726085,0.48987737,0.6496583,0.47099245,0.57282555,0.46602342,0.29038543,0.28918394,0.47090304,1,0.01483365715287676
24,293,468,206.5,60.87005722522736,17.942682161854847,0.7003618801447715,16.214930341750197,1.05897008209866,231.0,0.8939393939006952,0.3967391304347826,0.375,0.8146739130434782,0.1001037072043688,0.3163916990130569,0.58539134,0.40918577,0.37849596,0.48532897,0.6073332,0.5012495,0.6038074,0.44018584,0.48620203,0.6415238,0.46402586,0.5651907,0.46344152,0.30849934,0.25998682,0.46702635,1,0.007647231837824385
25,187,400,304.0,69.4558436870575,15.868796783296965,0.7918918356271821,19.67396303746374,0.9958914592987868,322.0,0.9440993788526676,0.2685185185185185,0.2579365079365079,0.872089947089947,0.1995149911816578,0.4466710100081018,0.6537422,0.4382607,0.41768333,0.54235154,0.66504407,0.5365004,0.6842078,0.5039557,0.546666,0.7041038,0.51718616,0.60183364,0.5184029,0.34944424,0.30088648,0.52321047,1,0.00833004564582909
26,395,342,59.5,38.72792172431946,25.207595308116623,0.4985152474308857,8.703892974511014,1.2551791529502256,81.5,0.7300613496036735,0.2941176470588235,0.2875816993464052,0.8568627450980393,0.1222820282797214,0.3496884731868088,0.51956254,0.3622268,0.34387237,0.415313,0.54361683,0.4724848,0.53026867,0.38135394,0.40902182,0.56768227,0.3991989,0.51909834,0.40243253,0.2532952,0.22233601,0.39325947,1,0.011185296188827801
27,292,380,351.5,85.01219260692596,20.56066256509665,0.6111851003924692,21.15522866750463,1.133596669901774,414.0,0.8490338164046127,0.451058201058201,0.3875661375661375,0.8125661375661375,0.1087315584670081,0.3297446867911721,0.5910742,0.44315347,0.41714144,0.50729775,0.6210917,0.50449395,0.6159396,0.4466139,0.5094787,0.66159624,0.4870428,0.5681573,0.47581506,0.31257033,0.3005328,0.49247795,1,0.014106565618000408
28,394,413,110.0,42.14213538169861,16.145087039708752,0.7783402209129687,11.834540545406394,1.004523737694872,116.0,0.9482758619872176,0.3300653594771242,0.3235294117647059,0.8388888888888889,0.1497500961168781,0.3869755756076578,0.6282456,0.42370197,0.421414,0.5215461,0.6439585,0.5130959,0.64886475,0.49433538,0.5282443,0.6837176,0.4961963,0.5995184,0.49874896,0.34678426,0.2706925,0.5032644,1,0.013782922831964525
29,293,510,224.5,62.52691102027893,17.41476437222152,0.7215929165146809,16.906870727400857,1.0432750226805565,249.5,0.8997995991623327,0.4707692307692308,0.4338461538461539,0.7867692307692308,0.1248520710059171,0.3533441254724877,0.69259393,0.56399786,0.5421433,0.63039887,0.71712554,0.5229645,0.7139233,0.5450413,0.640435,0.77726954,0.61126727,0.65617627,0.57302046,0.40305978,0.3407443,0.63132125,1,0.010196868848842735
30,395,542,98.0,42.62741661071777,18.541802517533466,0.6777318764518576,11.170383851240114,1.0765048336532348,111.0,0.8828828828033439,0.3464052287581699,0.3464052287581699,0.826797385620915,0.1144858814985689,0.3383576236743734,0.6527169,0.44544297,0.442772,0.544435,0.6619728,0.5198004,0.674222,0.51276463,0.5492398,0.6999599,0.5211478,0.6163416,0.5182136,0.35875797,0.2889618,0.5290582,1,0.014231886609425553
31,502,505,223.0,62.28427052497864,17.396100245088615,0.7223671073814999,16.85029431422316,1.0427158121956115,251.0,0.888446215104046,0.2769230769230769,0.2707692307692307,0.8652307692307692,0.1467834319526627,0.3831232594774986,0.53306437,0.3643098,0.33496624,0.42766187,0.5594991,0.46013448,0.54114103,0.3919039,0.42186517,0.5840904,0.40858722,0.5382974,0.41497287,0.2550976,0.22732879,0.4032044,1,0.01719902458200412
