,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
0,8373,140,1770.5,223.58073377609253,28.23402683737567,0.4450789356639188,47.47915978567445,1.3283925162150898,2179.0,0.8125286828783271,0.3215230037017451,0.2723426758328927,0.8687466948704389,0.1462558457622051,0.3824341064316899,0.49898487,0.25894585,0.23274136,0.3304621,0.47431073,0.43437812,0.54489696,0.34134397,0.31255025,0.46685025,0.3211144,0.5073896,0.34722215,0.22016233,0.19100331,0.2991608,1,0.012001007074834941
1,8428,270,2823.0,289.279217839241,29.643098077714004,0.4239223100557323,59.95294183597135,1.3611368886667274,3355.5,0.8413053196219898,0.3008658008658009,0.2642357642357643,0.8715451215451218,0.1572933670835769,0.3966022782127921,0.5142288,0.2584331,0.23222424,0.33979338,0.4868044,0.43774495,0.5503171,0.35778448,0.32273024,0.482473,0.32917663,0.525292,0.3588489,0.23837477,0.18998855,0.30824623,1,0.009252835609798001
2,8806,135,308.0,137.39696836471558,61.29197050390173,0.2050247448504623,19.80297401347661,1.9572297145523945,537.0,0.5735567970098034,0.2294871794871795,0.1384615384615385,0.937603819970336,0.2211143984220908,0.4702280281119904,0.34967458,0.22246426,0.18556775,0.266642,0.36666387,0.32227468,0.36079484,0.23387174,0.25932336,0.37746403,0.25398234,0.34211916,0.26594904,0.16086893,0.15581535,0.2456449,0,0.00020057126377537245
3,8886,299,1261.0,258.10764479637146,52.83073457716222,0.2378609859362025,40.06937815727916,1.817118848791653,1814.5,0.6949572885054012,0.2357142857142857,0.2266233766233766,0.8875974025974025,0.1782416933715635,0.4221867991441271,0.55761486,0.22829627,0.2012772,0.3359811,0.49737287,0.47473904,0.5924535,0.38932768,0.31401536,0.4792895,0.3274503,0.5266281,0.37077478,0.2625173,0.16443269,0.30041727,1,0.011450011351643228
4,8011,250,792.5,302.6934317350388,115.61301402445228,0.1086933916586711,31.76542679081483,2.688087307982399,1309.5,0.6051928216830456,0.2635746606334842,0.2432126696832579,0.8804298642533938,0.1183938130304912,0.3440840203068013,0.30012116,0.31509462,0.2674655,0.23392895,0.36045116,0.39322427,0.34066543,0.18440999,0.22227183,0.41079396,0.23476319,0.36314768,0.22477731,0.10723026,0.32025546,0.20993386,0,0.0012067832204305034
5,8196,258,1171.0,189.6812388896942,30.724997768080268,0.4089950049501185,38.61299660586932,1.3857533547644152,1456.5,0.8039821489817784,0.2754237288135593,0.2415254237288135,0.8826271186440677,0.1910747231000032,0.4371209479080168,0.47306266,0.23215021,0.19682363,0.30389717,0.4521677,0.43167967,0.50037783,0.3124147,0.28370374,0.43711743,0.29404816,0.48515537,0.3254026,0.2020571,0.16457935,0.2710447,1,0.012089116535355767
6,8225,332,1449.5,203.2375875711441,28.49638979058538,0.4409811455632568,42.95998975900272,1.334550246970856,1789.5,0.8100027940720314,0.2955710955710956,0.255944055944056,0.8759906759906761,0.1788555810933433,0.4229132075182133,0.5043654,0.25361818,0.2139524,0.33206078,0.48031032,0.4185096,0.53168404,0.3377355,0.313875,0.4724914,0.32139,0.53170955,0.35123238,0.22761479,0.17864731,0.29984748,1,0.01083276575117198
7,8475,429,1278.0,201.6812391281128,31.827325677568652,0.3948296109312858,40.3385688661799,1.4103928015221108,1643.5,0.7776087617841339,0.2958257713248639,0.265577737447066,0.870235934664247,0.1869068649678727,0.4323272660472304,0.52514005,0.24521455,0.21609178,0.3370613,0.49201357,0.43862575,0.5518124,0.36590466,0.31848434,0.4823726,0.3261832,0.5387945,0.36236358,0.24911848,0.17831741,0.30378363,1,0.013560707514174215
8,8645,260,277.0,96.9116871356964,33.90568629295324,0.3706272306454936,18.77997214831907,1.4557147360487412,412.0,0.67233009707106,0.2174603174603174,0.2095238095238095,0.8960317460317461,0.2545099521289997,0.5044897938799157,0.44576716,0.24689029,0.21961147,0.30983323,0.46055606,0.41037735,0.44445273,0.30798045,0.29136518,0.45012534,0.29478502,0.48205233,0.32347035,0.18442355,0.14630777,0.27651903,0,0.00044850495790687965
9,8692,428,622.5,116.32590091228484,21.73769513708809,0.5780912159683257,28.15300368695388,1.1655925299252583,702.0,0.8867521367395049,0.3165961945031712,0.2986257928118393,0.8524841437632136,0.1468031636488787,0.383149009719298,0.46759424,0.26309365,0.2510313,0.3170071,0.46102938,0.4304122,0.48394266,0.32307273,0.2977257,0.45045328,0.30852214,0.47418594,0.33028114,0.19455065,0.19536395,0.2858221,1,0.007157575381047051
10,8861,245,810.5,155.7817441225052,29.94195163670605,0.4196910998544845,32.124144362268225,1.3679809856092855,1063.5,0.762106252931245,0.2185283687943262,0.2043439716312056,0.8992464539007091,0.2083278318495045,0.4564294379742662,0.5185384,0.18191746,0.15090741,0.2778753,0.43321183,0.45367074,0.5613948,0.344898,0.25232002,0.40553215,0.27641034,0.5103149,0.32125863,0.23747987,0.1375485,0.2436139,1,0.01068540531502344
11,7651,520,937.5,137.98275482654572,20.30852333794084,0.6187732315693162,34.54941494713355,1.126624475336644,1082.5,0.8660508083060874,0.2211879432624113,0.2070035460992907,0.8979166666666667,0.2209792798400483,0.4700843326894104,0.51703775,0.19494846,0.17877637,0.29313514,0.4507645,0.43478662,0.55497533,0.36891374,0.26853976,0.42700475,0.28768447,0.5266179,0.3327079,0.23814943,0.14604652,0.25808075,1,0.012387576546891491
12,8009,342,1093.5,275.2375878095627,69.27821649980243,0.1813899267207382,37.31336814290423,2.0808384201140067,1485.5,0.7361157859257078,0.2199185486856719,0.2058496853017401,0.8984820436875232,0.2075500030772812,0.4555765611588037,0.49078384,0.19900246,0.15499285,0.28348136,0.43612397,0.4292109,0.5244068,0.31467998,0.26104712,0.41809005,0.27803957,0.51077074,0.31817523,0.22603796,0.14146267,0.2503312,1,0.007370610442284564
13,8027,418,1011.0,167.88224983215332,27.87779407361698,0.4507663189220195,35.878199226372125,1.3199856549767146,1212.5,0.833814432982814,0.3092243186582809,0.279874213836478,0.8629979035639413,0.1856969636593333,0.4309257054984459,0.5968344,0.23988059,0.20893863,0.35912007,0.52477,0.48123157,0.6378965,0.4227525,0.33835533,0.51948583,0.35103968,0.5731804,0.39722288,0.30898926,0.18347059,0.32366887,1,0.011579538969884397
14,8246,398,479.5,114.81118190288544,27.49031801806579,0.4571198705605855,24.708669767927827,1.310780254570776,585.0,0.8196581196441084,0.275,0.2506410256410256,0.8771153846153847,0.2820784023668639,0.5311105368629622,0.5406631,0.17878763,0.16261606,0.28337228,0.450021,0.44672817,0.58198315,0.37659818,0.25389308,0.41359615,0.2831262,0.5426306,0.33296728,0.24753486,0.13385777,0.2469423,1,0.010389725689075424
15,8264,461,4348.0,417.0193320512772,39.9965784968016,0.3141861400803181,74.40460698443671,1.5810712051853637,5583.0,0.7787927637456945,0.2817168104355144,0.2409004839049021,0.8836313907006103,0.1649992702849173,0.4062010220136297,0.5459811,0.25657085,0.20514025,0.35068658,0.5005037,0.43597776,0.58830434,0.3611846,0.3339964,0.4976823,0.3408525,0.5617993,0.3743708,0.26549795,0.19957475,0.3187051,1,0.008813534686940088
16,8454,344,699.0,117.5979790687561,19.78438437890952,0.6351661175551293,29.83277462405867,1.111991017709085,747.5,0.9351170568436774,0.2637411347517731,0.2415780141843971,0.881427304964539,0.2001569494743725,0.4473890359344677,0.51622444,0.24537149,0.21414739,0.33727694,0.49272817,0.42072374,0.5377135,0.3565545,0.31875622,0.48058426,0.32446656,0.54172754,0.3608476,0.23906666,0.17222649,0.3035321,1,0.017784113221903146
17,8715,498,1574.5,201.4385987520218,25.771679305760763,0.4876038718775806,44.77405122596696,1.2691453645730706,1839.0,0.8561718325130171,0.2517361111111111,0.2428075396825396,0.8794890873015871,0.2043650793650794,0.4520675606201791,0.56587064,0.24537054,0.22071175,0.35876286,0.5201109,0.44755533,0.5934049,0.40408757,0.34051347,0.5078442,0.34632957,0.56816214,0.38922048,0.27941117,0.17731963,0.3239655,1,0.008996177257442997
18,8675,377,867.0,155.88224947452545,28.026846252546623,0.4483690566171794,33.22497080939856,1.3235096865935352,1108.5,0.7821380243501838,0.255072463768116,0.2415458937198067,0.8805797101449275,0.1781357791313683,0.4220613452229051,0.52406865,0.2340007,0.22351252,0.32922304,0.48512036,0.45375997,0.5519327,0.38333318,0.30934662,0.46862155,0.31889087,0.517712,0.3573214,0.24313584,0.16476017,0.29538673,1,0.007961394441990035
19,8634,389,311.5,122.18376529216766,47.92575441570549,0.262204961969869,19.9151730644,1.7307107355734457,593.5,0.5248525694941053,0.1738900634249471,0.1738900634249471,0.9130549682875264,0.3348057247831081,0.5786239925747187,0.48126325,0.15904377,0.13930057,0.24874607,0.40605152,0.42721364,0.48716852,0.3261056,0.22025488,0.36160728,0.24831161,0.5028832,0.2949991,0.2077628,0.10053071,0.21470092,1,0.007491317526937142
20,8892,363,2505.5,264.40916109085083,27.90349410037457,0.4503511484656158,56.48098511299135,1.3205939501247783,2865.5,0.8743674751321782,0.2115575396825396,0.2080853174603174,0.8963045634920634,0.2022252043178382,0.4496945678100173,0.5920636,0.26770368,0.22684306,0.38486633,0.54295146,0.46646485,0.6330742,0.41264674,0.36947313,0.54466915,0.37095547,0.57456666,0.41098422,0.29900584,0.19757205,0.35025713,1,0.011540421820926294
21,7678,599,886.0,162.36753058433533,29.75532165661119,0.422323467352621,33.5870545989873,1.3637109676345642,1141.5,0.7761717038915799,0.2985507246376811,0.2705314009661835,0.8675362318840579,0.1583658895190086,0.3979521196312549,0.5559242,0.23317686,0.21783866,0.3390081,0.4947998,0.44564188,0.5884263,0.40287247,0.31914818,0.48339158,0.33038428,0.5541733,0.3714198,0.26730874,0.17973647,0.30467558,1,0.013448533337014948
22,7703,668,639.5,139.8406195640564,30.579200750200723,0.4109450314548772,28.534832903981343,1.3824615895349677,769.0,0.8315994798331391,0.1680642907058001,0.1582809224318658,0.9218378756114604,0.3447636223172527,0.5871657536992878,0.55133545,0.12188254,0.106877364,0.21972549,0.36599737,0.463611,0.6168523,0.3783688,0.18787223,0.33546478,0.23556349,0.5389339,0.28403816,0.2629169,0.096839726,0.18672597,1,0.012501284729892252
23,8043,491,2386.5,380.8355666399002,60.77340407178971,0.2067741770637266,55.12337229805943,1.9489324652521984,3148.0,0.758100381192001,0.2462025316455696,0.2332278481012658,0.8846835443037975,0.1798911432462746,0.4241357603955066,0.5867402,0.2037527,0.15069737,0.3167426,0.4807587,0.4637262,0.641583,0.3762625,0.29185823,0.46726748,0.31624752,0.57540053,0.3641758,0.29806426,0.16203973,0.2811702,1,0.0099926099268586
24,7868,530,1760.0,320.87719786167145,58.50123642441661,0.2148052140833341,47.33816218162558,1.9121525242801736,2529.0,0.6959272439671969,0.2532242063492064,0.2393353174603174,0.8817212301587302,0.1824589789619551,0.4271521730741343,0.5613407,0.22881459,0.1927846,0.3375569,0.49349743,0.44811445,0.6059535,0.38451913,0.31774047,0.4850034,0.32931322,0.5628815,0.37190065,0.2755086,0.1782973,0.30296126,1,0.01271106002871659
